beer_name,main_style
B.B. Bürgerbräu / B.B. Budweiser Bier,Pilseners and Pale Lagers
B.B. Dark Bohemia Beer - 1795 Original Czech Lager,Pilseners and Pale Lagers
B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,Stouts
B.P.A.,Pale Ales
B3K Schwarz Bier,Dark Lagers
BJ's Brewhouse Blonde,Pale Ales
BJ's Jeremiah Red Ale,Strong Ales
BJ's P.M. Porter,Porters
BORIS Royale,Stouts
BREWtality - Espresso Black Bier,Dark Lagers
Babayaga,Stouts
Baby Tree,Strong Ales
Bacchus,Wild/Sour Beers
Bachelor ESB,Pale Ales
Back Bay IPA,India Pale Ales
Back Forty Bock,Bocks
Back In Black,Dark Ales
Back In Mak (La Cruda),Porters
Back Yard India Pale Ale,India Pale Ales
BackDraft Chocolate Porter,Porters
Backburner (Imperial Barley Wine Style Ale),Strong Ales
Backfin Pale Ale,Pale Ales
Backside Stout,Stouts
Bad Boy,India Pale Ales
Bad Elf,India Pale Ales
Bad Elmer's Porter,Porters
Bad King John,Stouts
Bad Monkey Chimp Chiller Ale,Pale Ales
Bad Moon Porter,Porters
Bad Penny Brown Ale,Brown Ales
Bad Santa,Specialty Beers
Badass American Lager,Pilseners and Pale Lagers
Badger Original Ale,Pale Ales
Badger Porter,Porters
Baggywrinkle Barleywine,Strong Ales
Bah Humbug,Pale Ales
Bahia Lager,Pilseners and Pale Lagers
Bahl Hornin' Imperial Boont Amber Ale,Pale Ales
Bailey's Blonde Ale,Pale Ales
Bailout Bitter,Pale Ales
Baird / Ishii / Stone Japanese Green Tea IPA,India Pale Ales
Baird Angry Boy Brown Ale,Brown Ales
Bairn Farmhouse Belgian-Style Ale,Pale Ales
Bakalar Svetlý Leák,Pilseners and Pale Lagers
Baladin Nora,Specialty Beers
Balashi,Pilseners and Pale Lagers
Balboa Premium Lager,Pilseners and Pale Lagers
Bald Eagle Brown,Brown Ales
Ballantine XXX Ale,Pale Ales
Ballast Point Rocktoberfest Lager,Dark Lagers
Baller Stout,Stouts
Ballistic IPA,India Pale Ales
Baltas,Wheat Beers
Baltic Porter,Porters
Baltic Thunder,Porters
Baltijos,Dark Lagers
Baltika #1 Light,Pilseners and Pale Lagers
Baltika #2 Svetloye,Pilseners and Pale Lagers
Baltika #3 Classic,Pilseners and Pale Lagers
Baltika #4 Original (Dark),Dark Lagers
Baltika #5 Gold,Pilseners and Pale Lagers
Baltika #6 Porter,Porters
Baltika #7 Export,Pilseners and Pale Lagers
Baltika #8 Wheat,Wheat Beers
Baltika #9 Extra (Strong),Pilseners and Pale Lagers
Balto Heroic Lager,Dark Lagers
Baltus O.V.S. Ale,Strong Ales
Bam Bière,Pale Ales
Bam Noire,Pale Ales
